2019-11-16,Richmond,78,IUPUI,70
2019-11-16,Sacred Heart,79,Army,78
2019-11-16,Southeast Missouri St,77,Jacksonville,71
2019-11-16,Siena,61,Norfolk St,58
2019-11-16,South Alabama,73,Chattanooga,54
2019-11-16,South Florida,73,Ohio,46
2019-11-16,St. John's,84,Rutgers,65
2019-11-16,Texas A&M Corpus Chris,73,UT Arlington,67
2019-11-16,Temple,81,Loyola MD,67
2019-11-16,Texas,97,The Citadel,69
2019-11-16,Tulsa,82,Cal Baptist,79
2019-11-16,UCF,77,Saint Joseph's,57
2019-11-16,UCLA,95,St. Francis PA,58
2019-11-16,UMBC,77,Air Force,72
2019-11-16,UNLV,74,Oakland,61
2019-11-16,Utah St,65,Utah Valley,46
2019-11-16,Valparaiso,64,Monmouth,53
2019-11-16,Vanderbilt,79,Alcorn St,54
2019-11-16,Virginia,97,Coppin St,40
2019-11-16,Virginia Tech,88,Northeastern,60
2019-11-16,Western Kentucky,63,West Virginia,57
2019-11-16,Wake Forest,66,Cal St Fullerton,59
2019-11-16,Weber St,78,Central Michigan,76
2019-11-16,Green Bay,82,Eastern Washington,78
2019-11-16,Wichita St,82,Appalachian St,76
2019-11-16,Youngstown St,94,Columbia,83
2019-11-17,Albany,75,Canisius,66
2019-11-17,Brown,82,Sacred Heart,77
2019-11-17,BYU,91,Alabama A&M,60
2019-11-17,Coastal Carolina,78,UNC Asheville,52
2019-11-17,Cornell,86,NJIT,73
2019-11-17,Cal St Bakersfield,73,San Jose St,72
2019-11-17,Drake,75,Texas St,69
2019-11-17,Drexel,89,La Salle,84
2019-11-17,Duquesne,69,Radford,64
2019-11-17,Eastern Illinois,68,Western Illinois,66
2019-11-17,Eastern Michigan,80,Boston University,62
2019-11-17,Eastern Washington,87,UMKC,80
2019-11-17,East Tennessee St,76,Winthrop,74
2019-11-17,Florida Atlantic,85,Towson,71
2019-11-17,FIU,98,Columbia,87
2019-11-17,Fordham,67,Youngstown St,61
2019-11-17,Furman,76,Villanova,68
2019-11-17,Georgia Southern,88,Pepperdine,78
2019-11-17,George Mason,69,Southern Univ,65
2019-11-17,Illinois Chicago,71,Bradley,70
2019-11-17,Incarnate Word,80,North Dakota St,78
2019-11-17,Jacksonville,71,South Alabama,48
2019-11-17,Lamar,74,Prairie View A&M,67
2019-11-17,Lipscomb,79,SMU,73
2019-11-17,UMass Lowell,92,Army,85
2019-11-17,Marquette,74,Presbyterian,55
2019-11-17,Memphis,109,Yale,102
2019-11-17,Miami FL,78,Bethune Cookman,70
2019-11-17,Michigan,84,George Washington,61
2019-11-17,Montana,73,Miami OH,71
2019-11-17,Northern Kentucky,59,Manhattan,53
2019-11-17,North Carolina St,82,Maine,63
2019-11-17,New Mexico St,98,New Mexico,94
2019-11-17,North Texas,68,Maryland Eastern Shore,34
2019-11-17,Northern Iowa,90,Eastern Kentucky,85
2019-11-17,Notre Dame,73,William & Mary,64
2019-11-17,Old Dominion,65,Kennesaw St,47
2019-11-17,Pittsburgh,71,North Alabama,66
2019-11-17,Portland,80,Cal St Northridge,77
2019-11-17,Providence,76,South Carolina,67
2019-11-17,Rice,102,Northwestern St,74
2019-11-17,Robert Morris,68,Mississippi Valley St,59
2019-11-17,Southern Illinois,78,Arkansas Pine Bluff,48
2019-11-17,UC Santa Barbara,88,Montana St,69
2019-11-17,Southeastern Louisiana,69,Stetson,57
2019-11-17,Southeast Missouri St,63,Chattanooga,42
2019-11-17,Saint Louis,66,Seton Hall,64
2019-11-17,Stony Brook,72,Norfolk St,65
2019-11-17,UC Davis,57,Texas A&M Corpus Chris,54
2019-11-17,UMBC,68,High Point,59
2019-11-17,Wagner,79,Fairfield,73
2019-11-17,Green Bay,87,Morehead St,70
2019-11-17,Wisconsin,96,Houston Baptist,59
2019-11-17,Wright St,89,North Florida,72
2019-11-18,Air Force,65,South Dakota,62
2019-11-18,Alabama,90,Wichita St,86
2019-11-18,Arkansas,73,Indiana,72
2019-11-18,Ball St,94,Appalachian St,86
2019-11-18,Brown,86,Army,66
2019-11-18,Central Michigan,76,San Jose St,74
2019-11-18,Campbell,78,Austin Peay,72
2019-11-18,Central Connecticut,89,Florida A&M,75
2019-11-18,Cal St Bakersfield,68,Weber St,67
2019-11-18,Cal St Fullerton,87,Monmouth,63
2019-11-18,Davidson,71,Northeastern,59
2019-11-18,Evansville,85,Texas Southern,63
2019-11-18,Florida Atlantic,71,Incarnate Word,68
2019-11-18,FIU,102,Youngstown St,93
